id;mean_length_arpeggio_ascending;mean_length_arpeggio_descending;mean_length_arpeggio;cdpcx_density_2;cdpcx_density_L;cdpcx_density_b6;cdpcx_density_B;cdpcx_density_b2;cdpcx_density_4;cdpcx_density_<;cdpcx_density_>;cdpcx_density_1;cdpcx_density_3;cdpcx_density_6;cdpcx_density_5;cdpcx_density_T;cdpcx_density_7;cdpcx_entropy;mean_length_chromatic_ascending;mean_length_chromatic_descending;mean_length_chromatic_mixed;cpc_bigram_entropy;durclass_bigram_entropy;durclass_abs_hist_04_long;durclass_rel_hist_04_long;durclass_rel_hist_02_short;durclass_rel_entropy;durclass_abs_hist_01_very_short;durclass_abs_hist_05_very_long;durclass_rel_hist_01_very_short;durclass_rel_hist_05_very_long;durclass_rel_hist_03_medium;durclass_abs_entropy;durclass_abs_hist_03_medium;durclass_abs_hist_02_short;mean_seg_len_04_long;mean_seg_len_02_short;mean_seg_len_01_very_short;durclass_mean_seg_len;mean_seg_len_05_very_long;mean_seg_len_03_medium;fuzzyint_bigram_entropy;fuzzyint_hist_01_big_jump_up;fuzzyint_hist_08_jump_down;fuzzyint_hist_04_step_up;fuzzyint_hist_05_repeat;fuzzyint_hist_09_big_jump_down;fuzzyint_hist_07_leap_down;fuzzyint_hist_06_step_down;fuzzyint_hist_03_leap_up;fuzzyint_hist_02_jump_up;fuzzyint_entropy;art_range;art_median;art_std;metrical_event_density;event_density;performer;title;full_title;style;rhythmfeel;instrument;avgtempo;tonality_type;recordingyear;int_bigram_entropy;mean_length_chromatic_sequences;ratio_chromatic_sequences;int_std;int_min;int_range;abs_int_range;abs_int_mean;int_entropy;ioiclass_bigram_entropy;ioiclass_rel_hist_05_very_long;ioiclass_abs_hist_04_long;ioiclass_rel_hist_04_long;ioiclass_rel_hist_02_short;ioiclass_rel_hist_03_medium;ioiclass_abs_hist_03_medium;ioiclass_abs_hist_02_short;ioiclass_abs_hist_01_very_short;ioiclass_abs_hist_05_very_long;ioiclass_abs_entropy;ioiclass_rel_entropy;ioiclass_rel_hist_01_very_short;aic_mean_seg_len_02_short;ric_mean_seg_len_02_short;aic_mean_seg_len_04_long;aic_mean_seg_len;aic_mean_seg_len_05_very_long;aic_mean_seg_len_01_very_short;ric_mean_seg_len_04_long;aic_mean_seg_len_03_medium;ric_mean_seg_len;ric_mean_seg_len_01_very_short;ric_mean_seg_len_03_medium;ric_mean_seg_len_05_very_long;mcm_entropy;mcm_mean_angle;mcm_var;syncopicity;metric_complexity;metric_complexity_division;metric_complexity_compression;parsons_bigram_entropy;parsons_hist_ascending;parsons_hist_descending;parsons_hist_constant;parsons_entropy;mean_length_seq_ascending;mean_length_seq_descending;mean_length_seq_repitition;ratio_ascending_descending;pc_entropy;pc_circ_var;mean_number_of_unique_pc;pitch_entropy;pitch_range;pitch_median;pitch_std;extrema_ratio;mean_length_step_ascending;mean_length_step_descending;mean_length_step;nPVI_dur;nPVI_ioi
ArtPepper_Anthropology_FINAL.sv;3.3;3.1;3.45;0.08;0.02;0.05;0.04;0.03;0.1;0.0;0.01;0.16;0.12;0.06;0.15;0.03;0.14;0.89;3.25;3.7;3.71;6.38;2.55;0.02;0.05;0.73;0.55;0.6;0.0;0.13;0.01;0.08;0.65;0.05;0.33;1.04;4.07;1.32;2.47;1.0;1.13;5.06;0.02;0.07;0.22;0.02;0.0;0.17;0.28;0.14;0.09;0.76;0.96;0.83;0.22;4.1;3.74;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;6.66;3.5;0.09;3.65;-29;41;29;2.92;3.67;3.3;0.06;0.09;0.06;0.59;0.22;0.04;0.51;0.35;0.01;0.68;0.73;0.07;1.68;2.96;1.02;1.48;1.0;1.48;1.0;1.05;1.87;1.24;1.38;1.03;0.71;24.62;0.91;0.28679245283;0.212026964369;0.248582230624;0.175471698113;2.24;0.46;0.52;0.02;0.71;3.65;3.97;0.0;0.9;0.94;0.96;5.84;4.79;41;70.0;8.43;0.5;3.45;3.46;4.32;0.51;0.51
ArtPepper_BluesForBlanche_FINAL.sv;3.23;3.27;3.46;0.1;0.03;0.04;0.04;0.03;0.09;0.0;0.0;0.15;0.1;0.1;0.17;0.02;0.13;0.88;4.5;3.5;3.74;6.33;2.39;0.0;0.03;0.53;0.64;0.64;0.0;0.35;0.0;0.08;0.6;0.07;0.29;1.05;2.83;2.15;2.15;1.0;1.04;5.09;0.02;0.05;0.25;0.03;0.02;0.13;0.3;0.14;0.06;0.76;0.94;0.86;0.23;5.05;4.18;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;6.54;3.64;0.06;3.42;-15;28;15;2.72;3.6;3.66;0.03;0.06;0.07;0.49;0.18;0.08;0.36;0.5;0.01;0.7;0.8;0.23;1.76;2.25;1.08;1.8;1.0;2.28;1.09;1.09;1.72;1.67;1.37;1.0;0.8;22.91;0.88;0.3003003003;0.186390525864;0.272180451128;0.100600600601;2.34;0.47;0.5;0.03;0.74;3.84;3.87;3.5;0.93;0.92;0.88;5.93;4.3;38;67.0;6.04;0.46;3.44;3.68;4.8;0.55;0.55
ArtPepper_Desafinado_FINAL.sv;3.44;3.29;4.29;0.08;0.02;0.04;0.02;0.05;0.06;0.0;0.01;0.17;0.13;0.07;0.15;0.05;0.13;0.89;3.0;3.75;3.47;6.33;2.41;0.02;0.02;0.41;0.69;0.6;0.0;0.51;0.0;0.06;0.64;0.05;0.33;1.0;2.2;3.1;2.36;0.0;1.15;4.78;0.02;0.04;0.24;0.02;0.01;0.15;0.33;0.15;0.05;0.72;0.91;0.83;0.25;5.73;3.35;Art Pepper;Desafinado;Desafinado-1;COOL;LATIN;as;140.5;FUNCTIONAL;1979;6.27;3.67;0.06;3.25;-12;26;14;2.67;3.47;3.59;0.01;0.11;0.11;0.43;0.11;0.09;0.35;0.44;0.0;0.75;0.78;0.34;1.78;1.73;1.05;1.81;1.0;2.69;1.05;1.13;1.56;1.85;1.18;1.0;0.8;27.84;0.76;0.316353887399;0.157178788665;0.255376344086;0.058981233244;2.18;0.46;0.53;0.02;0.69;3.88;4.06;0.0;0.87;0.95;0.95;5.11;4.12;22;67.0;4.99;0.46;3.77;3.74;4.84;0.5;0.5
ArtPepper_InAMellowTone_FINAL.sv;3.38;3.0;3.68;0.13;0.01;0.03;0.04;0.02;0.08;0.0;0.01;0.13;0.11;0.12;0.19;0.03;0.12;0.86;4.56;3.17;3.95;6.25;2.61;0.0;0.02;0.74;0.58;0.36;0.0;0.14;0.0;0.1;0.66;0.08;0.56;1.0;4.32;1.58;2.72;0.0;1.12;5.06;0.01;0.07;0.21;0.03;0.01;0.15;0.24;0.21;0.06;0.76;0.94;0.85;0.24;4.42;3.09;Art Pepper;In a Mellow Tone;In a Mellow Tone-1;COOL;SWING;cl;167.6;FUNCTIONAL;1979;6.47;4.0;0.08;3.3;-9;21;12;2.8;3.58;3.34;0.05;0.08;0.08;0.57;0.22;0.13;0.6;0.18;0.01;0.7;0.74;0.08;2.76;2.71;1.07;1.97;1.0;1.63;1.1;1.38;1.95;1.43;1.7;1.08;0.8;27.22;0.96;0.392920353982;0.204237274838;0.288120567376;0.120353982301;2.32;0.49;0.48;0.03;0.74;3.82;3.68;3.0;1.04;0.91;0.86;5.31;4.64;41;74.0;8.05;0.49;4.05;3.32;4.33;0.49;0.49
ArtPepper_Stardust-1_FINAL.sv;3.44;3.23;3.77;0.11;0.03;0.04;0.02;0.02;0.06;0.0;0.02;0.18;0.13;0.09;0.17;0.02;0.11;0.87;3.0;3.33;3.28;6.28;3.32;0.06;0.01;0.14;0.53;0.4;0.0;0.77;0.0;0.08;0.73;0.12;0.41;1.0;1.16;4.38;2.62;0.0;1.05;5.11;0.01;0.06;0.27;0.04;0.01;0.14;0.27;0.14;0.06;0.76;0.95;0.94;0.22;9.15;2.32;Art Pepper;Stardust;Stardust-1;COOL;BALLAD;as;60.7;FUNCTIONAL;1979;6.68;3.17;0.07;3.27;-12;21;12;2.71;3.6;2.83;0.0;0.09;0.08;0.16;0.09;0.11;0.4;0.34;0.06;0.85;0.71;0.67;1.68;1.3;1.04;1.54;1.03;2.0;1.02;1.16;1.97;3.05;1.08;0.0;0.96;37.47;0.85;0.485617597293;0.14657432103;0.250847457627;0.0423011844332;2.36;0.49;0.48;0.04;0.75;3.69;3.74;0.0;1.02;0.92;0.92;4.73;4.35;34;65.0;6.17;0.51;3.06;3.46;4.55;0.68;0.68
ArtPepper_Stardust-2_FINAL.sv;3.18;3.33;3.57;0.08;0.02;0.01;0.04;0.02;0.07;0.0;0.0;0.23;0.09;0.06;0.21;0.02;0.14;0.81;3.0;3.15;3.28;5.7;2.82;0.02;0.0;0.11;0.35;0.53;0.0;0.86;0.0;0.03;0.71;0.08;0.36;1.0;1.17;7.21;4.08;0.0;1.0;4.91;0.01;0.05;0.27;0.05;0.01;0.12;0.3;0.14;0.05;0.74;0.96;0.94;0.24;12.5;3.14;Art Pepper;Stardust;Stardust-2;COOL;BALLAD;as;60.2;FUNCTIONAL;1979;6.2;3.14;0.03;3.07;-12;24;12;2.56;3.41;2.3;0.0;0.06;0.04;0.14;0.06;0.1;0.34;0.46;0.03;0.77;0.5;0.75;1.73;1.25;1.02;1.71;1.03;2.27;1.0;1.13;2.56;4.37;1.02;1.0;0.97;46.45;0.88;0.481848184818;0.105990086894;0.189977973568;0.02200220022;2.45;0.47;0.48;0.05;0.78;3.55;3.79;4.4;0.98;0.87;0.99;4.37;3.97;38;66.0;5.41;0.48;3.05;3.34;4.64;0.59;0.59
BennyCarter_IGotItBad_FINAL.sv;3.38;3.28;3.6;0.13;0.03;0.05;0.03;0.06;0.06;0.0;0.02;0.12;0.1;0.06;0.17;0.04;0.12;0.91;3.3;3.67;3.67;6.45;2.56;0.02;0.01;0.18;0.41;0.25;0.01;0.78;0.0;0.03;0.57;0.07;0.65;1.0;1.52;5.86;3.44;1.0;1.07;5.0;0.02;0.09;0.29;0.01;0.02;0.15;0.22;0.15;0.05;0.76;0.82;0.97;0.16;11.38;3.22;Benny Carter;I Got It Bad;I Got It Bad-1;SWING;SWING;as;68.2;FUNCTIONAL;1952;6.72;3.41;0.13;3.68;-15;27;15;2.98;3.67;2.27;0.01;0.04;0.04;0.21;0.02;0.05;0.66;0.23;0.03;0.61;0.5;0.72;3.41;1.37;1.0;2.35;1.0;1.77;1.0;1.29;2.56;4.19;1.1;1.0;0.96;17.65;0.98;0.483870967742;0.102771503768;0.192998204668;0.0125448028674;2.03;0.53;0.47;0.01;0.66;4.4;4.35;0.0;1.12;0.94;0.91;7.76;4.16;28;63.0;5.15;0.37;3.59;3.73;4.41;0.5;0.5
BennyCarter_It'sAWonderfulWorld-1_FINAL.sv;3.25;3.38;3.66;0.13;0.04;0.02;0.04;0.04;0.05;0.01;0.03;0.16;0.09;0.1;0.14;0.06;0.11;0.91;3.0;4.0;3.73;6.39;2.04;0.0;0.0;0.38;0.68;0.64;0.0;0.6;0.0;0.02;0.66;0.02;0.34;0.0;2.36;3.66;2.9;0.0;1.0;5.35;0.04;0.1;0.17;0.01;0.02;0.15;0.26;0.18;0.07;0.8;0.88;0.7;0.19;8.76;4.54;Benny Carter;It's a Wonderful World;It's a Wonderful World-1;SWING;SWING;as;124.2;FUNCTIONAL;1986;6.84;3.75;0.1;4.03;-12;24;12;3.29;3.86;2.97;0.0;0.04;0.04;0.53;0.1;0.09;0.52;0.35;0.0;0.76;0.78;0.33;2.53;2.55;1.0;2.13;0.0;2.3;1.0;1.28;2.1;2.07;1.52;0.0;0.88;44.69;0.97;0.341920374707;0.166008345153;0.271126760563;0.0608899297424;2.15;0.46;0.53;0.01;0.68;3.89;4.2;0.0;0.86;0.94;0.87;7.87;4.48;34;64.0;6.47;0.48;3.33;3.83;3.9;0.4;0.4
BennyCarter_It'sAWonderfulWorld-2_FINAL.sv;3.0;3.4;3.33;0.14;0.03;0.02;0.04;0.02;0.08;0.0;0.02;0.16;0.1;0.12;0.15;0.04;0.07;0.88;3.0;3.0;3.0;6.05;2.21;0.01;0.0;0.41;0.53;0.63;0.0;0.55;0.0;0.03;0.57;0.03;0.33;1.0;2.1;3.14;2.47;1.0;1.14;5.29;0.04;0.13;0.26;0.04;0.02;0.13;0.17;0.18;0.04;0.81;0.9;0.76;0.21;7.86;4.15;Benny Carter;It's a Wonderful World;It's a Wonderful World-2;SWING;SWING;as;127.2;FUNCTIONAL;1986;6.51;3.0;0.03;4.0;-12;24;12;3.26;3.81;3.09;0.0;0.04;0.04;0.54;0.14;0.12;0.54;0.3;0.0;0.77;0.79;0.28;2.55;2.45;1.0;1.91;0.0;1.72;1.0;1.2;1.84;1.64;1.21;0.0;0.89;32.49;0.97;0.40562248996;0.177330288898;0.310483870968;0.0441767068273;2.35;0.52;0.44;0.04;0.75;3.74;3.84;3.0;1.17;0.88;0.78;6.89;4.05;31;67.0;5.77;0.49;3.27;3.67;3.85;0.46;0.46
BennyCarter_JustFriends_FINAL.sv;3.65;3.43;3.74;0.11;0.04;0.03;0.03;0.05;0.07;0.0;0.01;0.15;0.14;0.1;0.15;0.04;0.1;0.9;3.44;3.69;3.44;6.44;1.86;0.0;0.01;0.72;0.55;0.71;0.0;0.21;0.0;0.06;0.47;0.01;0.28;1.0;4.45;1.68;2.88;0.0;1.17;5.09;0.03;0.06;0.28;0.02;0.02;0.21;0.18;0.14;0.06;0.77;1.0;0.74;0.19;5.92;5.05;Benny Carter;Just Friends;Just Friends-1;SWING;SWING;as;204.9;FUNCTIONAL;1986;6.58;3.59;0.1;3.57;-12;25;13;2.9;3.66;3.05;0.01;0.03;0.05;0.55;0.28;0.04;0.61;0.32;0.0;0.64;0.69;0.12;2.8;3.27;1.0;2.06;0.0;1.59;1.04;1.05;2.3;1.63;1.96;1.0;0.8;15.92;0.98;0.366197183099;0.215922075664;0.287477954145;0.144366197183;2.21;0.51;0.48;0.02;0.7;4.24;4.19;0.0;1.06;0.93;0.89;8.16;4.32;32;65.0;5.84;0.44;3.9;4.0;4.64;0.39;0.39
