id;seg_type;seg_id;mean_length_arpeggio_ascending;mean_length_arpeggio_descending;mean_length_arpeggio;cdpcx_density_2;cdpcx_density_L;cdpcx_density_b6;cdpcx_density_B;cdpcx_density_b2;cdpcx_density_4;cdpcx_density_<;cdpcx_density_>;cdpcx_density_1;cdpcx_density_3;cdpcx_density_6;cdpcx_density_5;cdpcx_density_T;cdpcx_density_7;cdpcx_entropy;mean_length_chromatic_ascending;mean_length_chromatic_descending;mean_length_chromatic_mixed;cpc_bigram_entropy;durclass_bigram_entropy;durclass_abs_hist_04_long;durclass_rel_hist_04_long;durclass_rel_hist_02_short;durclass_rel_entropy;durclass_abs_hist_01_very_short;durclass_abs_hist_05_very_long;durclass_rel_hist_01_very_short;durclass_rel_hist_05_very_long;durclass_rel_hist_03_medium;durclass_abs_entropy;durclass_abs_hist_03_medium;durclass_abs_hist_02_short;mean_seg_len_04_long;mean_seg_len_02_short;mean_seg_len_01_very_short;durclass_mean_seg_len;mean_seg_len_05_very_long;mean_seg_len_03_medium;fuzzyint_bigram_entropy;fuzzyint_hist_01_big_jump_up;fuzzyint_hist_08_jump_down;fuzzyint_hist_04_step_up;fuzzyint_hist_05_repeat;fuzzyint_hist_09_big_jump_down;fuzzyint_hist_07_leap_down;fuzzyint_hist_06_step_down;fuzzyint_hist_03_leap_up;fuzzyint_hist_02_jump_up;fuzzyint_entropy;art_range;art_median;art_std;metrical_event_density;event_density;performer;title;full_title;style;rhythmfeel;instrument;avgtempo;tonality_type;recordingyear;int_bigram_entropy;mean_length_chromatic_sequences;ratio_chromatic_sequences;int_std;int_min;int_range;abs_int_range;abs_int_mean;int_entropy;ioiclass_bigram_entropy;ioiclass_rel_hist_05_very_long;ioiclass_abs_hist_04_long;ioiclass_rel_hist_04_long;ioiclass_rel_hist_02_short;ioiclass_rel_hist_03_medium;ioiclass_abs_hist_03_medium;ioiclass_abs_hist_02_short;ioiclass_abs_hist_01_very_short;ioiclass_abs_hist_05_very_long;ioiclass_abs_entropy;ioiclass_rel_entropy;ioiclass_rel_hist_01_very_short;aic_mean_seg_len_02_short;ric_mean_seg_len_02_short;aic_mean_seg_len_04_long;aic_mean_seg_len;aic_mean_seg_len_05_very_long;aic_mean_seg_len_01_very_short;ric_mean_seg_len_04_long;aic_mean_seg_len_03_medium;ric_mean_seg_len;ric_mean_seg_len_01_very_short;ric_mean_seg_len_03_medium;ric_mean_seg_len_05_very_long;mcm_entropy;mcm_mean_angle;mcm_var;syncopicity;metric_complexity;metric_complexity_division;metric_complexity_compression;parsons_bigram_entropy;parsons_hist_ascending;parsons_hist_descending;parsons_hist_constant;parsons_entropy;mean_length_seq_ascending;mean_length_seq_descending;mean_length_seq_repitition;ratio_ascending_descending;pc_entropy;pc_circ_var;mean_number_of_unique_pc;pitch_entropy;pitch_range;pitch_median;pitch_std;extrema_ratio;mean_length_step_ascending;mean_length_step_descending;mean_length_step;nPVI_dur;nPVI_ioi
ArtPepper_Anthropology_FINAL.sv;chorus;1;3.0;3.0;3.11;0.08;0.01;0.04;0.02;0.02;0.11;0.0;0.01;0.16;0.14;0.02;0.16;0.02;0.2;0.83;3.0;4.0;3.5;5.6;2.46;0.01;0.02;0.77;0.49;0.57;0.0;0.09;0.01;0.11;0.63;0.05;0.37;1.0;4.95;1.22;2.9;1.0;1.3;4.85;0.02;0.08;0.21;0.02;0.01;0.18;0.24;0.13;0.11;0.79;0.92;0.84;0.22;3.96;3.48;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;6.04;3.5;0.04;3.57;-8;16;8;3.06;3.72;2.97;0.07;0.08;0.03;0.62;0.23;0.02;0.61;0.27;0.01;0.62;0.67;0.05;2.18;3.41;1.0;1.66;1.0;1.32;1.0;1.0;2.05;1.5;1.33;1.0;0.65;16.73;0.93;0.172131147541;0.156618344398;0.214876033058;0.0983606557377;2.23;0.46;0.51;0.02;0.72;3.47;3.65;0.0;0.9;0.91;0.78;5.73;3.88;24;60.0;4.74;0.53;4.33;3.27;4.67;0.45;0.45
ArtPepper_Anthropology_FINAL.sv;chorus;2;3.5;3.33;3.67;0.08;0.05;0.05;0.05;0.03;0.11;0.0;0.01;0.16;0.14;0.08;0.11;0.02;0.14;0.89;3.25;3.0;3.17;6.02;2.51;0.02;0.05;0.73;0.55;0.6;0.0;0.14;0.01;0.07;0.65;0.06;0.32;1.0;3.59;1.36;2.29;1.0;1.0;4.81;0.0;0.05;0.23;0.02;0.0;0.2;0.25;0.16;0.08;0.72;0.91;0.84;0.2;4.19;3.8;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;6.01;3.2;0.08;3.15;-7;14;7;2.71;3.49;3.04;0.07;0.08;0.04;0.63;0.2;0.04;0.5;0.37;0.02;0.68;0.68;0.06;1.4;2.59;1.0;1.32;1.0;1.36;1.0;1.0;1.71;1.14;1.13;1.0;0.71;24.62;0.96;0.300751879699;0.203890407838;0.234848484848;0.172932330827;2.26;0.48;0.5;0.02;0.72;3.59;3.63;0.0;0.95;0.94;0.88;5.83;4.68;35;68.0;8.5;0.5;3.5;3.43;3.94;0.55;0.55
ArtPepper_Anthropology_FINAL.sv;chorus;3;3.67;3.0;3.75;0.1;0.02;0.04;0.04;0.02;0.08;0.0;0.01;0.16;0.1;0.08;0.15;0.07;0.11;0.9;3.33;4.0;4.14;5.92;2.55;0.02;0.07;0.71;0.64;0.6;0.0;0.16;0.0;0.06;0.66;0.05;0.33;1.0;4.04;1.16;2.31;0.0;1.14;4.71;0.01;0.07;0.24;0.01;0.0;0.18;0.25;0.14;0.1;0.74;0.96;0.85;0.22;4.23;3.94;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;5.76;3.67;0.12;3.43;-7;19;12;2.85;3.53;3.5;0.06;0.1;0.08;0.56;0.19;0.04;0.46;0.39;0.0;0.79;0.78;0.1;1.55;2.71;1.0;1.44;0.0;1.56;1.0;1.0;1.73;1.17;1.37;1.0;0.72;29.03;0.84;0.308823529412;0.258469498911;0.303703703704;0.213235294118;2.09;0.5;0.5;0.01;0.67;3.76;3.82;2.0;1.0;0.94;0.91;5.64;4.24;28;74.0;6.62;0.52;3.17;3.33;4.63;0.57;0.57
ArtPepper_Anthropology_FINAL.sv;chorus;4;3.0;3.0;3.2;0.09;0.02;0.05;0.05;0.03;0.08;0.0;0.01;0.16;0.11;0.07;0.18;0.02;0.12;0.88;0.0;3.75;4.0;5.97;2.5;0.02;0.05;0.71;0.57;0.64;0.0;0.14;0.01;0.09;0.63;0.06;0.29;1.17;3.65;1.64;2.42;1.0;1.09;4.8;0.02;0.06;0.18;0.03;0.01;0.11;0.38;0.11;0.09;0.75;0.85;0.82;0.22;4.16;3.9;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;5.98;3.75;0.08;4.19;-29;38;29;2.95;3.58;3.31;0.05;0.11;0.1;0.56;0.23;0.06;0.46;0.37;0.0;0.82;0.75;0.06;1.61;3.22;1.08;1.52;0.0;1.69;1.0;1.14;2.0;1.33;1.63;1.2;0.7;23.31;0.85;0.360902255639;0.243406812486;0.246212121212;0.240601503759;2.28;0.41;0.56;0.03;0.72;3.44;5.14;0.0;0.73;0.93;0.86;5.08;4.49;36;74.0;7.59;0.42;3.25;3.73;4.3;0.47;0.47
ArtPepper_Anthropology_FINAL.sv;chorus;5;3.0;3.0;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;3.75;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0.0;0.85;0.82;0.22;5.51;5.34;Art Pepper;Anthropology;Anthropology-1;COOL;SWING;cl;218.8;FUNCTIONAL;1979;5.98;3.75;0.08;4.19;-29;38;29;2.95;3.58;0.0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;1.61;3.22;1.08;1.52;0.0;1.69;1.0;1.14;2.0;1.33;1.63;1.2;-0.0;8.0;0.0;1.0;0.5;0.0;1.0;0.0;0;0;0;0.0;3.44;5.14;0.0;0.73;-0.0;0.0;1.0;0.0;0;70.0;0.0;1.0;3.25;3.73;4.3;0.0;0.0
ArtPepper_BluesForBlanche_FINAL.sv;chorus;1;3.0;0.0;4.0;0.11;0.0;0.03;0.0;0.0;0.11;0.0;0.0;0.19;0.11;0.0;0.28;0.0;0.17;0.68;0.0;0.0;0.0;4.51;2.69;0.0;0.14;0.64;0.74;0.5;0.0;0.17;0.0;0.06;0.9;0.14;0.36;1.25;2.88;1.2;1.89;0.0;1.0;4.42;0.0;0.11;0.17;0.09;0.03;0.14;0.14;0.23;0.09;0.82;0.92;0.87;0.31;3.41;2.73;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;4.59;0.0;0.0;3.87;-12;17;12;3.23;3.22;3.16;0.06;0.14;0.23;0.49;0.2;0.2;0.29;0.37;0.0;0.96;0.79;0.03;1.11;1.55;1.0;1.09;0.0;1.0;1.14;1.4;1.3;1.0;1.17;1.0;0.63;23.23;0.72;0.361111111111;0.31746031746;0.357142857143;0.277777777778;2.46;0.49;0.43;0.09;0.84;3.0;3.33;0.0;1.13;0.68;0.87;3.25;2.84;16;70.0;3.98;0.56;0.0;0.0;3.33;0.64;0.64
ArtPepper_BluesForBlanche_FINAL.sv;chorus;2;3.0;0.0;3.33;0.13;0.0;0.04;0.04;0.02;0.13;0.0;0.0;0.17;0.11;0.07;0.22;0.0;0.07;0.8;2.0;4.0;4.0;4.85;2.65;0.02;0.0;0.76;0.55;0.48;0.0;0.09;0.02;0.13;0.73;0.09;0.41;0.0;3.89;1.0;2.3;1.0;1.0;4.09;0.0;0.04;0.22;0.11;0.02;0.04;0.31;0.2;0.04;0.74;0.92;0.86;0.27;3.84;3.07;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;4.76;4.0;0.07;3.09;-9;16;9;2.44;3.25;3.0;0.04;0.11;0.11;0.58;0.24;0.16;0.51;0.22;0.0;0.87;0.7;0.02;1.92;2.89;1.25;1.5;0.0;1.25;1.25;1.17;1.88;1.0;1.38;1.0;0.63;17.38;0.84;0.217391304348;0.193236714976;0.277777777778;0.108695652174;2.5;0.47;0.42;0.11;0.88;4.6;4.6;3.0;1.11;0.77;0.71;4.4;3.3;18;67.0;4.69;0.24;3.0;4.25;4.17;0.59;0.59
ArtPepper_BluesForBlanche_FINAL.sv;chorus;3;3.0;3.0;3.67;0.13;0.05;0.05;0.03;0.05;0.09;0.0;0.0;0.06;0.13;0.16;0.14;0.02;0.11;0.88;0.0;0.0;3.0;5.14;2.22;0.0;0.0;0.78;0.6;0.61;0.0;0.16;0.0;0.06;0.71;0.03;0.36;0.0;5.56;2.0;3.56;0.0;1.0;4.06;0.0;0.03;0.25;0.0;0.0;0.13;0.43;0.11;0.05;0.61;0.93;0.86;0.24;5.47;4.45;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;4.82;0.0;0.0;2.76;-6;13;6;2.4;3.07;3.0;0.02;0.05;0.06;0.59;0.24;0.08;0.51;0.37;0.0;0.76;0.7;0.1;2.67;2.64;1.0;1.97;0.0;1.92;1.0;1.0;1.97;1.5;1.67;1.0;0.71;23.96;0.77;0.3125;0.205357142857;0.285714285714;0.125;1.95;0.41;0.59;0.0;0.62;3.43;3.91;0.0;0.7;0.92;0.87;5.83;3.91;20;65.0;5.54;0.48;3.0;3.75;6.29;0.37;0.37
ArtPepper_BluesForBlanche_FINAL.sv;chorus;4;4.0;4.0;3.5;0.12;0.04;0.02;0.05;0.07;0.12;0.0;0.0;0.14;0.12;0.05;0.18;0.0;0.09;0.85;5.0;3.5;6.0;5.37;1.9;0.0;0.07;0.54;0.81;0.77;0.0;0.39;0.0;0.0;0.62;0.07;0.16;1.0;2.82;2.75;2.48;0.0;0.0;4.57;0.04;0.04;0.21;0.05;0.0;0.18;0.3;0.13;0.05;0.76;0.83;0.83;0.21;5.27;4.37;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;5.39;4.0;0.16;3.25;-7;15;8;2.63;3.45;3.02;0.04;0.05;0.05;0.61;0.07;0.04;0.3;0.59;0.02;0.63;0.69;0.23;1.42;2.83;1.0;1.81;1.0;2.54;1.5;1.0;2.07;1.86;1.0;1.0;0.73;25.62;0.92;0.175438596491;0.138079573935;0.241071428571;0.0350877192982;2.47;0.43;0.52;0.05;0.78;4.0;4.0;0.0;0.83;0.91;0.98;6.4;4.18;26;65.0;6.42;0.37;5.0;3.5;5.4;0.51;0.51
ArtPepper_BluesForBlanche_FINAL.sv;chorus;5;0.0;3.25;3.25;0.07;0.05;0.02;0.03;0.0;0.08;0.0;0.0;0.15;0.13;0.1;0.17;0.03;0.17;0.84;4.0;3.0;3.5;5.17;2.25;0.0;0.03;0.6;0.69;0.62;0.0;0.3;0.0;0.07;0.74;0.05;0.33;1.0;3.27;1.8;2.22;0.0;1.0;3.93;0.02;0.0;0.34;0.0;0.0;0.24;0.29;0.07;0.05;0.61;0.88;0.89;0.19;5.68;4.67;Art Pepper;Blues for Blanche;Blues for Blanche-1;COOL;SWING;as;198.9;BLUES;1979;5.04;3.5;0.08;2.87;-4;13;8;2.46;3.01;3.03;0.03;0.03;0.02;0.56;0.15;0.02;0.42;0.51;0.02;0.6;0.71;0.24;1.67;2.36;1.0;1.79;1.0;2.14;1.0;1.0;1.74;1.27;1.5;1.0;0.76;12.97;0.93;0.3;0.126836158192;0.220338983051;0.0333333333333;1.97;0.47;0.53;0.0;0.63;3.88;4.38;0.0;0.9;0.93;0.78;7.75;3.95;19;68.0;5.02;0.4;5.0;3.2;4.18;0.58;0.58
