,avgtempo,base_name,chord_changes,chorus_count,compid,filename_solo,filename_solo_backing,filename_solo_solo,filename_sv,genre,instrument,key,melid,performer,recording_year,rhythmfeel,signature,solopart,style,tempoclass,title,titleaddon,tonalitytype,trackid,tuning_frequency,intensity_solo_5_to_95_percentile_range,intensity_backing_5_to_95_percentile_range
1,218.8,ArtPepper_Anthropology_Solo,"A1: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |D-7 G7 |C-7 F7 ||
A2: ||Bb6 G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb G7 |C-7 F7 |Bb G-7 |C-7 F7 |F-7 Bb7 |Eb7 Ab7 |C-7 F7 |Bb6   ||",4,1,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_Anthropology_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Anthropology_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Anthropology_Solo_Solo.wav,ArtPepper_Anthropology_FINAL.sv,ORIGINAL,cl,Bb-maj,1,Art Pepper,1979,SWING,4/4,1,COOL,UP,Anthropology,,FUNCTIONAL,1,440.075,9.68185784519,10.6534338133
2,198.9,ArtPepper_BluesForBlanche_Solo,A1: ||Eb7   |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |Eb7   |F-7   |Bb7   |Eb7   |Bb7   ||,11,2,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_BluesForBlanche_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_BluesForBlanche_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_BluesForBlanche_Solo_Solo.wav,ArtPepper_BluesForBlanche_FINAL.sv,ORIGINAL,as,Eb-maj,2,Art Pepper,1979,SWING,4/4,1,COOL,UP,Blues for Blanche,,BLUES,2,439.436,7.67357809089,9.75946810792
3,140.5,ArtPepper_Desafinado_Solo,"A1: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |A79b   |D7   |D79b   |G79b   |G79b   |Gbj7   |Gbj7   ||
A2: ||Fj7   |Fj7   |G7alt   |G7alt   |G-7   |C7   |Am7b5   |D79b   |G-7   |Bb-   |A-7   |Bm7b5 E79# ||
B1: ||Aj7   |Bbo7   |B-7   |E7   |Aj7   |F#-7   |B-7   |E7   ||
C1: ||Cj7   |C#o7   |D-7   |G7   |G-7   |Am7b5 D79b |G-7   |C7alt   ||",2,3,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_Desafinado_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Desafinado_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Desafinado_Solo_Solo.wav,ArtPepper_Desafinado_FINAL.sv,ORIGINAL,as,F-maj,3,Art Pepper,1979,LATIN,4/4,1,COOL,MEDIUM UP,Desafinado,,FUNCTIONAL,3,438.983,12.1802751511,11.5681201498
4,167.6,ArtPepper_InAMellowTone_Solo,"A1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab6   |Db7   |Eb6   |C7   |F7   |F7   |Bb7   |C7   ||
B1: ||F7   |Bb7   |Eb6   |Eb6   |Bb-7   |Eb7   |Abj7   |Abj7   |Ab7   |Ao7   |Eb6   |C7   |F7   |Bb7   |Eb6   |Eb6   ||",4,4,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_InAMellowTone_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_InAMellowTone_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_InAMellowTone_Solo_Solo.wav,ArtPepper_InAMellowTone_FINAL.sv,GREAT AMERICAN SONGBOOK,cl,Eb-maj,4,Art Pepper,1979,SWING,4/4,1,COOL,MEDIUM UP,In a Mellow Tone,,FUNCTIONAL,4,439.538,11.9455263931,15.5856638628
5,60.7,ArtPepper_Stardust-1_Solo,"A1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb F-7 |G-7 C7 |F-7  Eo7|F-7   |Bb7 Bbo |F-7 Bb7 |Ebj7   |G-7 C-7 |F79   |C-7 F7 |Bb7 Bbsus7 |Bbo7 Bb7Eb+7||
B1: ||Ab6   |Ab6   |Ab-6   |Ab-6 Db7 |Eb   |G-7 C7 |F-7  Eo|F-7   |Ab-7   |Db7913   |Ebj7 C-7 |G-7 C7 |F-7   |Bb7   |Eb6   |Bb-7 Eb7 ||",2,5,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_Stardust-1_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Stardust-1_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Stardust-1_Solo_Solo.wav,ArtPepper_Stardust-1_FINAL.sv,GREAT AMERICAN SONGBOOK,as,Eb-maj,5,Art Pepper,1979,BALLAD,4/4,1,COOL,SLOW,Stardust,,FUNCTIONAL,5,439.463,12.3270561973,13.8367159677
6,60.2,ArtPepper_Stardust-2_Solo,"B1: ||Ab6   |Ab6   |Ab-6   |Db7   |Ebj7   |G-7 C7 |F-7   |F-7   |Ab-7   |Db7   |Eb C-7 |G-7 C7 |F-7   |Bb7   |Eb7   |Ab7   ||
C1: ||Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   |Ab7   |Eb7   ||",1,5,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/ArtPepper_Stardust-2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Stardust-2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/ArtPepper_Stardust-2_Solo_Solo.wav,ArtPepper_Stardust-2_FINAL.sv,GREAT AMERICAN SONGBOOK,as,Eb-maj,6,Art Pepper,1979,BALLAD,4/4,2,COOL,SLOW,Stardust,,FUNCTIONAL,5,439.455,12.0929312931,14.8925435836
7,68.2,BennyCarter_IGotItBad_Solo,"A1: ||Dbj7   |F-7 Bb7 |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6 Bb-7 |Eb-7 Ab7 ||
A2: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |G7911#   ||
B1: ||Gbj7   |F#j7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A3: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Db6   |Eb-7 Ab7 ||
B2: ||Gbj7   |Gbj7   |Gb-6   |B7   |Dbj7 B7 |F-7 Bb7 |Eb-7   |Ab7   ||
A4: ||Dbj7   |Bb-7   |Eb7   |Eb7   |Eb-7   |F7Bb7Eb7Ab7|Eb-7 Ab7 |Dbj7   |Dbj7   |Dbj7   ||",1,6,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_IGotItBad_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_IGotItBad_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_IGotItBad_Solo_Solo.wav,BennyCarter_IGotItBad_FINAL.sv,GREAT AMERICAN SONGBOOK,as,Db-maj,7,Benny Carter,1952,SWING,4/4,1,SWING,SLOW,I Got It Bad,,FUNCTIONAL,6,441.835,19.007316753,20.2697359378
8,124.2,BennyCarter_It'sAWonderfulWorld-1_Solo,"A1: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||",3,7,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_It'sAWonderfulWorld-1_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_It'sAWonderfulWorld-1_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_It'sAWonderfulWorld-1_Solo_Solo.wav,BennyCarter_It'sAWonderfulWorld-1_FINAL.sv,ORIGINAL,as,C-maj,8,Benny Carter,1986,SWING,4/4,1,SWING,MEDIUM,It's a Wonderful World,,FUNCTIONAL,7,444.993,8.79321974226,8.43060167285
9,127.2,BennyCarter_It'sAWonderfulWorld-2_Solo,"A1: ||Cj7   |E-7 A7 |D- G7 |Cj7 G7 ||
A2: ||Cj7   |E-7 A7 |D-7   |G7   ||
B1: ||C7   |C7   |F7   |Bb7   ||
A3: ||Cj7   |E-7 A7 |D-7 G7 |Cj7   ||",2,7,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_It'sAWonderfulWorld-2_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_It'sAWonderfulWorld-2_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_It'sAWonderfulWorld-2_Solo_Solo.wav,BennyCarter_It'sAWonderfulWorld-2_FINAL.sv,ORIGINAL,as,C-maj,9,Benny Carter,1986,SWING,4/4,2,SWING,MEDIUM,It's a Wonderful World,,FUNCTIONAL,7,445.735,8.23129876918,10.3790095521
10,204.9,BennyCarter_JustFriends_Solo,"A1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |A-7   |D-7   |G7   |G7   |G-7   |C7 B7 ||
B1: ||Bbj7   |Bbj7   |Bb-7   |Eb7   |Fj7   |Fj7   |Ab-7   |Db7   |G-7   |C7   |Em7b5 A7 |D-7   |G7   |G-7 C7 |F6   |C-7 F7 ||",3,8,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo/BennyCarter_JustFriends_Solo.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_JustFriends_Solo_Backing.wav,/Volumes/mini/Datasets/wjazzd_2_0/wav_solo_separated/BennyCarter_JustFriends_Solo_Solo.wav,BennyCarter_JustFriends_FINAL.sv,GREAT AMERICAN SONGBOOK,as,Bb-maj,10,Benny Carter,1986,SWING,4/4,1,SWING,UP,Just Friends,,FUNCTIONAL,8,445.256,,
