Chet Baker vs. Gerry Mulligan-Stan Getz-Zoot Sims; (N = 15 vs. 56)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1965.466667; 1956.464286; ***; 1.621940
1; !! pitch_median; 68.533333; 61.723214; ***; 2.116018
2; avgtempo; 188.593333; 217.455357; n. s.; -0.480457
3; mcm_entropy; 0.664000; 0.677679; n. s.; -0.112495
4; syncopicity; 0.259575; 0.243777; n. s.; 0.135296
5; !! durclass_bigram_entropy; 2.502000; 1.901429; **; 0.784616
6; metric_complexity_division; 0.242840; 0.228576; n. s.; 0.192243
7; cpc_bigram_entropy; 5.352667; 5.452679; n. s.; -0.094583
8; ric_mean_seg_len_02_short; 3.539333; 3.937321; n. s.; -0.236084
9; metric_complexity_compression; 0.138973; 0.111989; n. s.; 0.375394
10; metric_complexity; 0.190907; 0.170282; n. s.; 0.344753
11; mean_number_of_unique_pc; 7.049333; 6.870536; n. s.; 0.110234
12; !! ric_mean_seg_len_03_medium; 1.895333; 1.490536; *; 0.753533
13; metrical_event_density; 4.742667; 5.595179; n. s.; -0.401314
14; !! durclass_abs_hist_02_short; 0.422000; 0.235714; ***; 1.054339
15; mean_length_arpeggio; 3.892667; 3.551071; n. s.; 0.373843
16; !! durclass_abs_hist_01_very_short; 0.452667; 0.666607; **; -0.871291
17; durclass_abs_hist_03_medium; 0.104667; 0.083929; n. s.; 0.166230
18; !! cdpcx_density_6; 0.065333; 0.092679; *; -0.593918
19; mcm_mean_angle; 25.807333; 25.247857; n. s.; 0.041347
