COOL vs. HARDBOP; (N = 154 vs. 322)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1960.909091; 1957.832298; ***; 0.481212
1; avgtempo; 196.859740; 185.963665; n. s.; 0.174854
2; pitch_std; 4.823636; 4.579845; n. s.; 0.161136
3; !! syncopicity; 0.271024; 0.338658; ***; -0.438313
4; pitch_entropy; 3.644221; 3.596553; n. s.; 0.046151
5; !! ric_mean_seg_len_02_short; 3.788571; 3.146957; ***; 0.364003
6; int_std; 3.106753; 3.212516; n. s.; -0.132930
7; pitch_range; 21.941558; 20.531056; n. s.; 0.187813
8; !! mcm_entropy; 0.667987; 0.713789; *; -0.237649
9; int_range; 19.045455; 19.282609; n. s.; -0.033381
10; !! aic_mean_seg_len; 2.005065; 2.232578; **; -0.257540
11; int_bigram_entropy; 5.261364; 5.172702; n. s.; 0.071723
12; cdpcx_density_5; 0.148247; 0.148261; n. s.; -0.000160
13; event_density; 4.409351; 4.708106; n. s.; -0.165085
14; pc_circ_var; 0.810714; 0.813354; n. s.; -0.011573
