HARDBOP vs. POSTBOP; (N = 322 vs. 616)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1957.832298; 1978.530844; ***; -1.730626
1; !! avgtempo; 185.963665; 210.724188; ***; -0.345929
2; !! aic_mean_seg_len_01_very_short; 2.757391; 3.534984; ***; -0.304422
3; !! pitch_entropy; 3.596553; 3.943799; ***; -0.367717
4; !! ioiclass_abs_hist_02_short; 0.393230; 0.342468; ***; 0.241771
5; !! pitch_std; 4.579845; 5.561997; ***; -0.599541
6; !! ioiclass_abs_hist_01_very_short; 0.415155; 0.518539; ***; -0.416336
7; !! pitch_range; 20.531056; 25.181818; ***; -0.573632
8; !! syncopicity; 0.338658; 0.315701; *; 0.157725
9; !! pc_entropy; 0.845714; 0.888880; **; -0.217552
10; !! durclass_abs_hist_02_short; 0.345932; 0.245438; ***; 0.514029
11; !! aic_mean_seg_len; 2.232578; 2.540162; ***; -0.277107
12; art_range; 0.853447; 0.853766; n. s.; -0.002215
13; !! cdpcx_density_5; 0.148261; 0.125958; ***; 0.248807
14; art_std; 0.192267; 0.187435; n. s.; 0.118910
15; !! cpc_bigram_entropy; 5.046460; 5.277792; *; -0.157078
