Chet Baker vs. Gerry Mulligan-Stan Getz-Zoot Sims-Lee Konitz-Warne Marsh; (N = 15 vs. 83)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1965.466667; 1955.084337; ***; 1.989600
1; syncopicity; 0.259575; 0.260978; n. s.; -0.009452
2; ric_mean_seg_len_02_short; 3.539333; 4.367108; n. s.; -0.402347
3; aic_mean_seg_len; 1.802000; 2.051446; n. s.; -0.384716
4; !! avgtempo; 188.593333; 219.360241; n. s.; -0.547933
5; !! mean_length_seq_descending; 4.154667; 4.726265; *; -0.591920
6; mcm_entropy; 0.664000; 0.664940; n. s.; -0.006019
7; !! pitch_median; 68.533333; 63.590361; ***; 1.152530
8; !! durclass_bigram_entropy; 2.502000; 1.780120; **; 0.923880
9; ric_mean_seg_len; 2.354000; 2.663976; n. s.; -0.367267
10; !! ioiclass_rel_hist_02_short; 0.547333; 0.654217; n. s.; -0.519448
11; mean_length_step_descending; 3.694667; 4.194096; n. s.; -0.349912
12; metric_complexity; 0.190907; 0.157628; n. s.; 0.473659
13; cpc_bigram_entropy; 5.352667; 5.287831; n. s.; 0.045033
14; mean_length_arpeggio_descending; 2.483333; 2.814699; n. s.; -0.243395
15; !! ric_mean_seg_len_03_medium; 1.895333; 1.395783; ***; 1.034990
16; mean_length_chromatic_ascending; 2.002000; 2.807711; n. s.; -0.494030
17; mean_number_of_unique_pc; 7.049333; 7.157229; n. s.; -0.052745
18; mcm_mean_angle; 25.807333; 25.237229; n. s.; 0.040683
19; art_median; 0.816000; 0.850602; n. s.; -0.420703
