Paul Desmond vs. Chet Baker; (N = 18 vs. 15)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; ric_mean_seg_len_03_medium; 1.688333; 1.895333; n. s.; -0.329387
1; !! mean_length_chromatic_ascending; 3.850000; 2.002000; **; 1.186310
2; durclass_bigram_entropy; 2.612222; 2.502000; n. s.; 0.218284
3; ric_mean_seg_len_02_short; 3.025556; 3.539333; n. s.; -0.352064
4; cdpcx_density_4; 0.102222; 0.129333; n. s.; -0.499280
5; mean_length_arpeggio; 3.325000; 3.892667; n. s.; -0.405943
6; mean_seg_len_02_short; 3.333889; 4.050000; n. s.; -0.443819
7; ratio_ascending_descending; 1.095000; 1.080000; n. s.; 0.051336
8; ioiclass_abs_hist_02_short; 0.583333; 0.574667; n. s.; 0.087695
9; !! fuzzyint_hist_01_big_jump_up; 0.052778; 0.005333; n. s.; 0.568730
10; mean_length_arpeggio_descending; 2.606111; 2.483333; n. s.; 0.074048
11; cpc_bigram_entropy; 5.393333; 5.352667; n. s.; 0.042997
12; parsons_bigram_entropy; 2.375000; 2.457333; n. s.; -0.158175
13; ioiclass_abs_hist_01_very_short; 0.208333; 0.207333; n. s.; 0.006931
14; fuzzyint_hist_04_step_up; 0.305556; 0.311333; n. s.; -0.069023
15; !! int_std; 3.548889; 2.709333; ***; 1.686036
16; durclass_abs_hist_01_very_short; 0.373889; 0.452667; n. s.; -0.373792
17; !! fuzzyint_entropy; 0.741111; 0.672667; n. s.; 0.678914
18; aic_mean_seg_len_02_short; 2.812778; 2.358000; n. s.; 0.476087
19; mean_length_arpeggio_ascending; 3.178333; 2.880667; n. s.; 0.235430
