Paul Desmond vs. Lee Konitz-Warne Marsh; (N = 18 vs. 27)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1962.444444; 1952.222222; ***; 4.281521
1; !! mean_length_chromatic_ascending; 3.850000; 2.892963; n. s.; 0.600205
2; !! ioiclass_rel_hist_02_short; 0.512778; 0.782963; ***; -1.668970
3; aic_mean_seg_len; 1.903889; 2.161852; n. s.; -0.326883
4; !! ric_mean_seg_len_02_short; 3.025556; 5.258519; **; -1.029395
5; !! aic_mean_seg_len_01_very_short; 1.383333; 2.634074; *; -0.763597
6; !! mean_length_seq_descending; 4.056667; 4.837778; **; -0.952201
7; !! mean_length_step_descending; 3.383333; 4.473704; *; -0.781939
8; !! mean_number_of_unique_pc; 6.040000; 7.751852; *; -0.737120
9; mean_length_arpeggio_descending; 2.606111; 2.643704; n. s.; -0.022723
10; !! ioiclass_rel_entropy; 0.721111; 0.393333; ***; 2.075195
11; !! ric_mean_seg_len; 2.055556; 3.099630; ***; -1.086589
12; pitch_median; 66.722222; 67.462963; n. s.; -0.199540
13; !! event_density; 3.171111; 5.791481; ***; -2.425821
14; int_min; -10.055556; -8.370370; n. s.; -0.354219
15; mcm_mean_angle; 28.044444; 25.215185; n. s.; 0.210172
16; !! durclass_bigram_entropy; 2.612222; 1.528519; ***; 1.607927
17; mean_length_chromatic_sequences; 3.752778; 3.328889; n. s.; 0.400517
18; syncopicity; 0.282159; 0.296654; n. s.; -0.085705
19; !! avgtempo; 167.122222; 223.311111; ***; -1.261452
