as vs. all; (N = 210 vs. 1206)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; pitch_median; 65.997619; 65.295191; n. s.; 0.140436
1; !! avgtempo; 173.915238; 198.747015; ***; -0.358482
2; !! art_median; 0.869714; 0.840995; ***; 0.411220
3; !! metrical_event_density; 7.153429; 6.259610; ***; 0.314044
4; recordingyear; 1965.142857; 1965.991708; n. s.; -0.048775
5; !! aic_mean_seg_len; 2.000762; 2.330340; ***; -0.327625
6; !! metric_complexity_compression; 0.079038; 0.109801; ***; -0.281995
7; !! mean_length_arpeggio_descending; 2.857429; 2.493483; ***; 0.261761
8; !! aic_mean_seg_len_02_short; 1.932476; 2.096136; *; -0.157321
9; !! aic_mean_seg_len_01_very_short; 2.303429; 2.993566; ***; -0.293702
10; !! metric_complexity; 0.152016; 0.173407; ***; -0.302953
11; !! mean_length_step_ascending; 3.452286; 3.726758; **; -0.209030
12; event_density; 4.776286; 4.794983; n. s.; -0.010939
13; !! durclass_abs_hist_02_short; 0.346095; 0.303939; **; 0.205897
14; !! ioiclass_abs_hist_02_short; 0.446571; 0.385846; ***; 0.292828
15; !! mean_length_step; 4.581381; 4.973789; ***; -0.260602
16; int_bigram_entropy; 5.312810; 5.334751; n. s.; -0.019075
17; ioiclass_abs_hist_01_very_short; 0.431429; 0.442653; n. s.; -0.045360
18; ioiclass_rel_hist_02_short; 0.549952; 0.537711; n. s.; 0.057866
19; fuzzyint_bigram_entropy; 4.227762; 4.193557; n. s.; 0.029117
bcl vs. all; (N = 5 vs. 1411)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! pitch_std; 8.446000; 5.091297; ***; 2.064076
1; !! ric_mean_seg_len_01_very_short; 7.062000; 1.624706; ***; 3.931870
2; !! pitch_range; 37.000000; 23.169383; ***; 1.692660
3; !! pitch_entropy; 4.648000; 3.773678; *; 0.918797
4; !! mean_seg_len_01_very_short; 10.008000; 2.298689; ***; 2.388991
5; !! ioiclass_rel_hist_01_very_short; 0.682000; 0.179064; ***; 2.369174
6; !! ioiclass_abs_hist_02_short; 0.182000; 0.395606; *; -1.026397
7; !! durclass_abs_hist_02_short; 0.146000; 0.310773; n. s.; -0.803529
8; !! ric_mean_seg_len; 4.026000; 2.287045; ***; 2.165205
9; !! avgtempo; 114.120000; 195.351169; **; -1.166053
10; mean_length_chromatic_sequences; 3.842000; 3.180369; n. s.; 0.492841
11; !! mean_length_arpeggio_descending; 3.500000; 2.544082; n. s.; 0.685131
12; !! mcm_entropy; 0.922000; 0.714068; **; 1.156338
13; !! aic_mean_seg_len; 3.242000; 2.278058; *; 0.953312
14; !! mean_length_step_descending; 5.256000; 3.910992; *; 1.054591
15; pc_circ_var; 0.868000; 0.818795; n. s.; 0.243666
16; int_std; 3.310000; 3.383544; n. s.; -0.081992
17; recordingyear; 1960.000000; 1965.886605; n. s.; -0.338262
18; !! mean_length_chromatic_ascending; 3.650000; 2.363352; n. s.; 0.759711
19; !! durclass_rel_hist_01_very_short; 0.766000; 0.270553; ***; 1.965270
bs vs. all; (N = 25 vs. 1391)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! pitch_median; 57.000000; 65.550324; ***; -1.752261
1; !! recordingyear; 1957.440000; 1966.017254; *; -0.493818
2; int_bigram_entropy; 5.470000; 5.329008; n. s.; 0.122584
3; cpc_bigram_entropy; 5.576400; 5.199073; n. s.; 0.250831
4; !! art_median; 0.776400; 0.846492; ***; -1.001668
5; !! pitch_std; 4.357600; 5.116542; *; -0.464362
6; avgtempo; 200.976000; 194.958088; n. s.; 0.086185
7; !! fuzzyint_hist_04_step_up; 0.289200; 0.241797; *; 0.450290
8; mean_length_seq_ascending; 4.433200; 4.141783; n. s.; 0.348504
9; ioiclass_rel_hist_03_medium; 0.195600; 0.170927; n. s.; 0.187502
10; !! syncopicity; 0.256441; 0.314195; *; -0.406462
11; ratio_ascending_descending; 0.996000; 0.924551; n. s.; 0.238711
12; mean_number_of_unique_pc; 7.318000; 6.768411; n. s.; 0.263460
13; !! metrical_event_density; 7.543200; 6.371481; *; 0.409737
14; ric_mean_seg_len; 2.314400; 2.292804; n. s.; 0.026671
15; ioiclass_rel_entropy; 0.570800; 0.625032; n. s.; -0.282321
16; cdpcx_density_1; 0.178800; 0.152753; n. s.; 0.211966
17; durclass_mean_seg_len; 3.728400; 2.914270; n. s.; 0.335576
18; pitch_entropy; 3.646800; 3.779101; n. s.; -0.138848
19; pc_entropy; 0.856400; 0.866211; n. s.; -0.048982
cl vs. all; (N = 23 vs. 1393)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! pitch_median; 72.065217; 65.289304; ***; 1.373278
1; !! recordingyear; 1950.478261; 1966.119885; ***; -0.904496
2; !! extrema_ratio; 0.542174; 0.408995; ***; 0.917325
3; fuzzyint_bigram_entropy; 4.423478; 4.194917; n. s.; 0.194615
4; !! fuzzyint_hist_03_leap_up; 0.149565; 0.115944; **; 0.545912
5; !! int_bigram_entropy; 5.842174; 5.323065; *; 0.452013
6; int_range; 22.652174; 21.659009; n. s.; 0.106565
7; pitch_std; 4.667391; 5.110337; n. s.; -0.270671
8; durclass_rel_hist_02_short; 0.654783; 0.577423; n. s.; 0.314462
9; !! mean_length_seq_ascending; 3.754348; 4.153410; *; -0.477602
10; mean_length_step_descending; 3.771739; 3.918119; n. s.; -0.114561
11; !! metric_complexity_compression; 0.173356; 0.104114; **; 0.633582
12; avgtempo; 216.934783; 194.703230; n. s.; 0.318625
13; abs_int_range; 13.260870; 12.720029; n. s.; 0.092015
14; !! mean_length_chromatic_descending; 3.630435; 2.894228; *; 0.436398
15; mean_seg_len_02_short; 4.060435; 3.787653; n. s.; 0.104404
16; int_min; -12.130435; -10.013640; n. s.; -0.393015
17; mean_length_chromatic_ascending; 3.046957; 2.356683; n. s.; 0.407704
18; !! int_entropy; 3.546957; 3.283180; *; 0.448356
19; mean_length_arpeggio_ascending; 3.163913; 2.595126; n. s.; 0.390715
cor vs. all; (N = 24 vs. 1392)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1942.458333; 1966.269397; ***; -1.389850
1; !! pitch_median; 70.854167; 65.305316; ***; 1.119520
2; fuzzyint_bigram_entropy; 4.471250; 4.193930; n. s.; 0.236171
3; fuzzyint_entropy; 0.726250; 0.685661; n. s.; 0.231378
4; !! art_median; 0.774583; 0.846473; ***; -1.027452
5; !! mean_length_seq_repitition; 3.267083; 1.931315; **; 0.583495
6; !! mean_length_step; 3.702083; 4.936516; ***; -0.820875
7; parsons_bigram_entropy; 2.325417; 2.183333; n. s.; 0.237200
8; int_bigram_entropy; 5.409583; 5.330151; n. s.; 0.069056
9; !! int_std; 3.827917; 3.375618; *; 0.505327
10; int_entropy; 3.450417; 3.284655; n. s.; 0.281488
11; !! ioiclass_abs_hist_01_very_short; 0.333750; 0.442838; *; -0.441487
12; !! cdpcx_density_6; 0.107917; 0.082464; *; 0.404721
13; !! pitch_std; 4.431250; 5.114727; *; -0.418015
14; pc_circ_var; 0.833333; 0.818721; n. s.; 0.072356
15; fuzzyint_hist_02_jump_up; 0.065000; 0.050273; n. s.; 0.343211
