Art Pepper vs. all; (N = 26 vs. 1390)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1979.000000; 1965.620144; ***; 0.772824
1; !! art_std; 0.220769; 0.186007; ***; 0.863247
2; !! mean_length_seq_ascending; 3.645385; 4.156309; **; -0.612430
3; !! ioiclass_abs_hist_04_long; 0.071923; 0.037763; ***; 1.025130
4; !! ioiclass_bigram_entropy; 2.910000; 2.525799; *; 0.465514
5; avgtempo; 172.138462; 195.493165; n. s.; -0.334789
6; !! extrema_ratio; 0.476538; 0.409935; *; 0.456556
7; !! pitch_median; 68.230769; 65.346403; **; 0.577682
8; pitch_std; 5.278846; 5.099856; n. s.; 0.109323
9; !! cdpcx_density_5; 0.174231; 0.137935; *; 0.397630
10; !! mean_number_of_unique_pc; 5.232308; 6.807029; ***; -0.758334
11; mcm_entropy; 0.718846; 0.714727; n. s.; 0.022856
12; !! ioiclass_rel_hist_05_very_long; 0.029615; 0.018619; *; 0.471531
13; ioiclass_abs_entropy; 0.682692; 0.626453; n. s.; 0.287660
14; int_min; -10.000000; -10.048921; n. s.; 0.009072
15; abs_int_range; 10.923077; 12.762590; n. s.; -0.313216
16; pitch_entropy; 3.716538; 3.777892; n. s.; -0.064381
17; int_range; 18.538462; 21.733813; n. s.; -0.343189
18; durclass_rel_hist_02_short; 0.516154; 0.579849; n. s.; -0.258868
19; cpc_bigram_entropy; 5.169231; 5.206417; n. s.; -0.024707
Ben Webster vs. all; (N = 12 vs. 1404)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! int_bigram_entropy; 6.081667; 5.325085; *; 0.658918
1; !! fuzzyint_bigram_entropy; 5.018333; 4.191624; *; 0.705183
2; !! metric_complexity_division; 0.314828; 0.234551; ***; 1.043305
3; !! int_entropy; 3.648333; 3.284380; *; 0.618633
4; !! mean_length_seq_descending; 3.669167; 4.387016; **; -0.795305
5; !! durclass_abs_hist_02_short; 0.572500; 0.307949; ***; 1.297743
6; !! fuzzyint_hist_04_step_up; 0.296667; 0.242172; n. s.; 0.517327
7; pitch_range; 19.916667; 23.246439; n. s.; -0.405753
