A:LATIN/B:SWING vs. all; (N = 2 vs. 1414)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! int_bigram_entropy; 6.080000; 5.330438; n. s.; 0.651811
1; !! cdpcx_density_5; 0.215000; 0.138494; n. s.; 0.837375
2; ioiclass_bigram_entropy; 2.940000; 2.532277; n. s.; 0.493134
3; !! fuzzyint_bigram_entropy; 4.845000; 4.197716; n. s.; 0.551100
4; !! recordingyear; 1955.000000; 1965.881188; n. s.; -0.625312
5; durclass_rel_hist_04_long; 0.035000; 0.029194; n. s.; 0.070229
6; pitch_entropy; 4.105000; 3.776301; n. s.; 0.344936
7; mean_seg_len_01_very_short; 2.250000; 2.326018; n. s.; -0.023324
8; ric_mean_seg_len_02_short; 3.490000; 3.200835; n. s.; 0.159543
9; ric_mean_seg_len_01_very_short; 1.740000; 1.643769; n. s.; 0.067766
10; !! durclass_abs_hist_02_short; 0.460000; 0.309979; n. s.; 0.731038
11; !! mcm_mean_angle; 14.470000; 23.242617; n. s.; -0.665628
12; !! mean_number_of_unique_pc; 8.065000; 6.776294; n. s.; 0.617569
13; !! ratio_chromatic_sequences; 0.035000; 0.093458; n. s.; -0.777040
14; mean_length_step; 4.770000; 4.915799; n. s.; -0.096414
15; cdpcx_density_>; 0.015000; 0.012546; n. s.; 0.114135
16; durclass_rel_hist_02_short; 0.565000; 0.578699; n. s.; -0.055641
17; durclass_rel_hist_01_very_short; 0.360000; 0.272178; n. s.; 0.346042
18; fuzzyint_entropy; 0.755000; 0.686252; n. s.; 0.391766
19; pc_circ_var; 0.915000; 0.818833; n. s.; 0.476252
BALLAD vs. all; (N = 12 vs. 1404)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! avgtempo; 58.550000; 196.231125; ***; -2.004722
1; !! mcm_entropy; 0.868333; 0.713490; **; 0.861763
2; !! durclass_bigram_entropy; 2.660000; 1.890427; **; 0.945666
3; pitch_entropy; 4.059167; 3.774352; n. s.; 0.298971
4; int_bigram_entropy; 5.634167; 5.328910; n. s.; 0.265447
5; !! durclass_rel_hist_01_very_short; 0.786667; 0.267906; ***; 2.080785
6; !! ioiclass_rel_hist_01_very_short; 0.740000; 0.176061; ***; 2.710765
7; !! ric_mean_seg_len_01_very_short; 4.427500; 1.620114; ***; 2.010307
8; !! durclass_abs_hist_03_medium; 0.135000; 0.065043; *; 0.617584
9; fuzzyint_bigram_entropy; 4.438333; 4.196581; n. s.; 0.205821
10; cpc_bigram_entropy; 5.522500; 5.203027; n. s.; 0.212296
11; !! event_density; 3.215000; 4.805691; **; -0.933992
12; !! pitch_range; 31.000000; 23.151709; ***; 0.959395
13; !! fuzzyint_hist_08_jump_down; 0.115000; 0.050128; ***; 1.179332
14; !! metrical_event_density; 13.186667; 6.334095; ***; 2.452590
15; !! mean_seg_len_01_very_short; 7.330833; 2.283134; ***; 1.564575
16; durclass_abs_hist_04_long; 0.032500; 0.016838; n. s.; 0.201560
17; ioiclass_abs_entropy; 0.704167; 0.626830; n. s.; 0.395536
18; !! mean_length_seq_descending; 3.480000; 4.388632; ***; -1.008291
19; !! ioiclass_abs_hist_05_very_long; 0.028333; 0.006880; ***; 1.371230
FUNK vs. all; (N = 32 vs. 1384)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1990.062500; 1965.306358; ***; 1.455204
1; !! pitch_range; 31.156250; 23.034682; ***; 0.999854
2; !! avgtempo; 121.303125; 196.769798; ***; -1.094956
3; !! ioiclass_bigram_entropy; 2.886563; 2.524675; *; 0.438552
4; !! art_std; 0.220000; 0.185874; ***; 0.848479
5; !! int_range; 31.218750; 21.454480; ***; 1.060547
6; !! abs_int_range; 18.312500; 12.599711; ***; 0.982178
7; int_bigram_entropy; 5.703750; 5.322890; n. s.; 0.331495
8; !! pitch_std; 6.143750; 5.079082; ***; 0.653266
9; art_range; 0.891875; 0.844400; n. s.; 0.333026
10; !! metrical_event_density; 8.782187; 6.336908; ***; 0.860812
11; !! durclass_rel_hist_01_very_short; 0.569688; 0.265426; ***; 1.218290
12; fuzzyint_bigram_entropy; 4.524375; 4.191098; n. s.; 0.283945
13; nPVI_ioi; 0.433125; 0.453201; n. s.; -0.130580
14; !! int_min; -14.562500; -9.943642; ***; -0.863538
15; parsons_bigram_entropy; 2.354375; 2.181842; n. s.; 0.288162
16; cdpcx_density_1; 0.179688; 0.152601; n. s.; 0.220460
17; !! ioiclass_rel_entropy; 0.705313; 0.622197; *; 0.433280
18; nPVI_dur; 0.433125; 0.453201; n. s.; -0.130580
