BEBOP vs. all; (N = 138 vs. 1278)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1950.630435; 1967.510955; ***; -1.012664
1; avgtempo; 189.402174; 195.675743; n. s.; -0.089873
2; !! fuzzyint_hist_06_step_down; 0.309493; 0.271839; ***; 0.311815
3; art_median; 0.850942; 0.844640; n. s.; 0.089317
4; !! aic_mean_seg_len; 2.025507; 2.309100; **; -0.280990
5; ioiclass_abs_entropy; 0.630725; 0.627136; n. s.; 0.018342
6; ioiclass_abs_hist_02_short; 0.427754; 0.391299; n. s.; 0.175080
7; !! fuzzyint_bigram_entropy; 3.947754; 4.225720; **; -0.237196
8; !! art_range; 0.818623; 0.848372; *; -0.208830
9; metrical_event_density; 6.699783; 6.358951; n. s.; 0.119086
10; !! syncopicity; 0.287194; 0.315981; *; -0.202668
11; !! mean_length_chromatic_ascending; 2.664855; 2.335829; *; 0.194401
12; !! mean_length_chromatic_sequences; 3.459420; 3.152825; *; 0.228807
13; !! ratio_chromatic_sequences; 0.118913; 0.090618; ***; 0.378304
14; ioiclass_abs_hist_01_very_short; 0.425435; 0.442668; n. s.; -0.069647
15; event_density; 4.848333; 4.786150; n. s.; 0.036380
16; !! parsons_bigram_entropy; 2.082319; 2.196909; *; -0.191521
17; !! mean_length_step; 5.175000; 4.887582; *; 0.190365
18; pitch_median; 66.050725; 65.329030; n. s.; 0.144240
19; !! abs_int_mean; 2.497609; 2.706831; ***; -0.339839
COOL vs. all; (N = 154 vs. 1262)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1960.909091; 1966.470681; ***; -0.321116
1; !! syncopicity; 0.271024; 0.318319; ***; -0.334169
2; !! mcm_entropy; 0.667987; 0.720515; ***; -0.292639
3; cpc_bigram_entropy; 5.219610; 5.204041; n. s.; 0.010344
4; avgtempo; 196.859740; 194.845246; n. s.; 0.028850
5; !! int_std; 3.106753; 3.417029; ***; -0.347943
6; !! aic_mean_seg_len; 2.005065; 2.315190; ***; -0.307618
7; !! aic_mean_seg_len_01_very_short; 2.181623; 2.977805; ***; -0.338871
8; !! ric_mean_seg_len_02_short; 3.788571; 3.129572; ***; 0.365943
9; !! mean_length_chromatic_ascending; 2.658377; 2.332448; *; 0.192597
10; metric_complexity; 0.169520; 0.170322; n. s.; -0.011290
11; mean_length_step_descending; 3.847727; 3.924041; n. s.; -0.059729
12; mean_length_seq_descending; 4.419416; 4.376236; n. s.; 0.047717
13; !! metrical_event_density; 5.708701; 6.475571; **; -0.268712
14; pitch_median; 65.912338; 65.336767; n. s.; 0.115004
15; !! cdpcx_density_1; 0.184545; 0.149390; ***; 0.287125
16; !! event_density; 4.409351; 4.838930; **; -0.252086
17; !! durclass_rel_hist_02_short; 0.641883; 0.570967; ***; 0.289209
18; !! ric_mean_seg_len; 2.436299; 2.275721; *; 0.198686
19; pc_entropy; 0.844221; 0.868700; n. s.; -0.122298
FREE vs. all; (N = 5 vs. 1411)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! metrical_event_density; 1.120000; 6.410850; ***; -1.858670
1; !! int_bigram_entropy; 6.948000; 5.325769; **; 1.415219
2; !! fuzzyint_bigram_entropy; 5.340000; 4.194585; *; 0.976638
3; !! int_entropy; 3.830000; 3.285542; *; 0.925355
4; !! mcm_entropy; 0.432000; 0.715804; ***; -1.581492
5; fuzzyint_hist_09_big_jump_down; 0.024000; 0.015386; n. s.; 0.266159
6; !! ioiclass_bigram_entropy; 3.308000; 2.530106; *; 0.942159
7; !! cpc_bigram_entropy; 1.206000; 5.219908; ***; -2.700870
8; !! fuzzyint_hist_01_big_jump_up; 0.048000; 0.022424; *; 1.048608
9; !! metric_complexity_division; 0.278034; 0.235079; n. s.; 0.556011
10; !! cdpcx_density_2; 0.032000; 0.098583; *; -0.932689
11; !! cdpcx_density_5; 0.036000; 0.138965; *; -1.128940
12; !! fuzzyint_entropy; 0.802000; 0.685939; n. s.; 0.661819
13; !! pitch_range; 27.400000; 23.203402; n. s.; 0.511263
14; !! metric_complexity; 0.236124; 0.170001; *; 0.932482
15; fuzzyint_hist_02_jump_up; 0.060000; 0.050489; n. s.; 0.221454
16; !! cdpcx_density_1; 0.022000; 0.153678; *; -1.073346
17; pitch_entropy; 4.220000; 3.775195; n. s.; 0.466917
18; mean_seg_len_02_short; 3.708000; 3.792381; n. s.; -0.032293
19; !! ioiclass_rel_hist_05_very_long; 0.040000; 0.018746; *; 0.910883
FUSION vs. all; (N = 32 vs. 1384)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1990.062500; 1965.306358; ***; 1.455204
1; !! ioiclass_bigram_entropy; 2.886563; 2.524675; *; 0.438552
2; !! pitch_range; 31.156250; 23.034682; ***; 0.999854
3; !! avgtempo; 121.303125; 196.769798; ***; -1.094956
4; !! art_std; 0.220000; 0.185874; ***; 0.848479
5; !! int_range; 31.218750; 21.454480; ***; 1.060547
6; !! abs_int_range; 18.312500; 12.599711; ***; 0.982178
7; int_bigram_entropy; 5.703750; 5.322890; n. s.; 0.331495
8; art_range; 0.891875; 0.844400; n. s.; 0.333026
9; !! metrical_event_density; 8.782187; 6.336908; ***; 0.860812
10; !! pitch_std; 6.143750; 5.079082; ***; 0.653266
11; mean_length_arpeggio_ascending; 2.172500; 2.614350; n. s.; -0.303457
12; parsons_bigram_entropy; 2.354375; 2.181842; n. s.; 0.288162
13; cdpcx_density_1; 0.179688; 0.152601; n. s.; 0.220460
14; !! int_min; -14.562500; -9.943642; ***; -0.863538
15; !! mean_seg_len_01_very_short; 4.342812; 2.279277; ***; 0.635947
16; aic_mean_seg_len_01_very_short; 2.223125; 2.906662; n. s.; -0.289587
17; !! durclass_rel_hist_01_very_short; 0.569688; 0.265426; ***; 1.218290
18; nPVI_ioi; 0.433125; 0.453201; n. s.; -0.130580
19; cdpcx_density_7; 0.114063; 0.104212; n. s.; 0.148318
HARDBOP vs. all; (N = 322 vs. 1094)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1957.832298; 1968.230347; ***; -0.617068
1; !! avgtempo; 185.963665; 197.742962; **; -0.169109
2; !! pitch_std; 4.579845; 5.257166; ***; -0.420018
3; mcm_entropy; 0.713789; 0.715101; n. s.; -0.007278
4; !! syncopicity; 0.338658; 0.305675; ***; 0.232899
5; !! pitch_range; 20.531056; 24.009141; ***; -0.430379
6; event_density; 4.708106; 4.816965; n. s.; -0.063708
7; art_range; 0.853447; 0.843126; n. s.; 0.072345
8; !! cdpcx_density_2; 0.107919; 0.095530; **; 0.173741
9; pc_circ_var; 0.813354; 0.820622; n. s.; -0.035990
10; !! cdpcx_density_b6; 0.032733; 0.045640; ***; -0.415035
11; !! fuzzyint_bigram_entropy; 4.030932; 4.247989; **; -0.185321
12; !! int_range; 19.282609; 22.379342; ***; -0.335518
13; !! pitch_entropy; 3.596553; 3.829808; ***; -0.246057
14; !! ratio_chromatic_sequences; 0.079161; 0.097559; ***; -0.245740
15; !! art_std; 0.192267; 0.184991; **; 0.179998
POSTBOP vs. all; (N = 616 vs. 800)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1978.530844; 1956.113750; ***; 1.674203
1; !! pitch_entropy; 3.943799; 3.648150; ***; 0.313968
2; !! avgtempo; 210.724188; 183.006250; ***; 0.404862
3; !! pitch_std; 5.561997; 4.749825; ***; 0.511738
4; !! aic_mean_seg_len_01_very_short; 3.534984; 2.395512; ***; 0.496730
5; !! ioiclass_abs_hist_01_very_short; 0.518539; 0.381275; ***; 0.576885
6; !! cdpcx_density_5; 0.125958; 0.148338; ***; -0.246655
7; !! pitch_range; 25.181818; 21.706250; ***; 0.432876
8; !! ioiclass_abs_hist_02_short; 0.342468; 0.435188; ***; -0.455938
9; !! durclass_abs_hist_02_short; 0.245438; 0.360050; ***; -0.581010
10; !! aic_mean_seg_len; 2.540162; 2.082263; ***; 0.463949
11; !! cdpcx_entropy; 0.829156; 0.800838; **; 0.138725
12; !! durclass_abs_hist_01_very_short; 0.681331; 0.544563; ***; 0.567050
13; !! pc_entropy; 0.888880; 0.848450; ***; 0.202857
14; !! cdpcx_density_>; 0.017857; 0.008462; ***; 0.447577
SWING vs. all; (N = 106 vs. 1310)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1950.896226; 1967.077099; ***; -0.958790
1; !! int_bigram_entropy; 5.829245; 5.291221; ***; 0.471309
2; !! fuzzyint_bigram_entropy; 4.550000; 4.170198; **; 0.324473
3; !! pitch_median; 64.103774; 65.504198; **; -0.280398
4; !! avgtempo; 171.750000; 196.950840; ***; -0.362529
5; cpc_bigram_entropy; 5.467925; 5.184519; n. s.; 0.188525
6; !! int_entropy; 3.505283; 3.269840; ***; 0.401785
7; !! durclass_rel_hist_03_medium; 0.159906; 0.110206; ***; 0.371850
8; !! art_median; 0.827453; 0.846695; **; -0.273322
9; !! mean_length_step; 4.467264; 4.951870; **; -0.321605
10; !! durclass_abs_hist_02_short; 0.408208; 0.302260; ***; 0.520912
11; !! fuzzyint_entropy; 0.720189; 0.683611; *; 0.208734
12; !! ioiclass_abs_hist_02_short; 0.494151; 0.386817; ***; 0.519593
13; !! metric_complexity_division; 0.253053; 0.233789; *; 0.249766
14; !! ioiclass_abs_hist_01_very_short; 0.305943; 0.451916; ***; -0.597051
15; !! art_std; 0.174434; 0.187634; **; -0.326808
16; !! abs_int_mean; 2.919528; 2.667580; ***; 0.409534
17; !! aic_mean_seg_len_01_very_short; 1.925283; 2.969374; ***; -0.444953
18; !! int_min; -11.537736; -9.927481; **; -0.299527
19; mcm_mean_angle; 21.522170; 23.368435; n. s.; -0.140138
TRADITIONAL vs. all; (N = 43 vs. 1373)
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D
0; !! recordingyear; 1930.930233; 1966.959942; ***; -2.214577
1; !! pitch_median; 69.104651; 65.283321; ***; 0.769679
2; !! durclass_bigram_entropy; 2.588837; 1.875280; ***; 0.883549
3; !! ioiclass_abs_hist_02_short; 0.570000; 0.389366; ***; 0.876105
4; !! art_median; 0.785116; 0.847138; ***; -0.888890
5; !! fuzzyint_bigram_entropy; 4.729070; 4.182017; **; 0.467158
6; !! fuzzyint_entropy; 0.776512; 0.683525; ***; 0.532039
7; !! cdpcx_density_6; 0.108372; 0.082098; **; 0.418295
8; !! aic_mean_seg_len_01_very_short; 1.860233; 2.923503; **; -0.451398
9; pitch_entropy; 3.561860; 3.783496; n. s.; -0.232750
10; !! parsons_bigram_entropy; 2.498837; 2.175936; ***; 0.541133
11; durclass_rel_hist_02_short; 0.620465; 0.577371; n. s.; 0.175116
12; pc_entropy; 0.843488; 0.866744; n. s.; -0.116123
