Art Pepper vs. all; (N = 600 vs. 7366);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
1; Spectral Stability_max;0,99811;0,993391; ***;0,582581;;/
2; Spectral Spread_S;3584,974687;5426,337775; ***;-0,657398;;Streuungsbreite des Spektrograms um den Mittelwert
3; Odd_To_Even_Ratio;0,467287;0,728663; ***;-0,51335;;Verhältnis der Summer über alle Energien der ungeradzahligen Obertöne zu den geradzahligen Obertönen
4; Spectral Spread_mean;1579624,799;2454332,508; ***;-0,678364;;siehe oben
5; Spectral Entropy_max;4,943053;5,664926; ***;-1,208345;;siehe oben (weniger breitbandiges Spektrum, dafür mehr Peaks / schmalbandige Komponenten)
6; Spectral Centroid_S;55,985361;83,757119; ***;-1,008014;;/
7; Spectral Sparseness_min;0,904531;0,859598; ***;1,122349;;/
Benny Carter vs. all; (N = 700 vs. 7266);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
Cannonball Adderley vs. all; (N = 500 vs. 7466);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
Charlie Parker vs. all; (N = 1600 vs. 6366);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
Eric Dolphy vs. all; (N = 600 vs. 7366);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
Lee Konitz vs. all; (N = 778 vs. 7188);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
3; Spectral Flatness_min;0,002662;0,00199; ***;0,607478;;
Ornette Coleman vs. all; (N = 500 vs. 7466);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
0; Spectral Spread_mean;3231127,673;2332015,041; ***;0,696091;;breitbandigeres Spektrum
Paul Desmond vs. all; (N = 792 vs. 7174);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
0; Shape-based Spectral Contrast_13_mean;0,000014;0,000071; ***;-0,614306;;? (Mittlere Magnitude der 2% kleinsten Bins zwischen 1600-3200 Hz)
2; Octave-based Spectral Contrast_13_max;0,000036;0,000192; ***;-0,527289;;
4; Octave-based Spectral Contrast_13_mean;0,000014;0,000071; ***;-0,614306;;/
6; Spectral Entropy_max;4,953651;5,683076; ***;-1,240876;;
7; Shape-based Spectral Contrast_6;0,278991;0,182812; ***;1,007348;;
8; Shape-based Spectral Contrast_6_mean;0,203972;0,132903; ***;0,974916;;gr??ere Kontrast (differenz zwischen hohen und niedrigen Magnituden) zwischen 3200 und 6400 Hz
9; Spectral Roll-off_max;1592,64138;2990,251745; ***;-1,083786;;
Phil Woods vs. all; (N = 600 vs. 7366);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
0; Spectral Sparseness_min;0,831547;0,865543; ***;-0,833638;;
Sonny Stitt vs. all; (N = 596 vs. 7370);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
0; Relative_Harmonic_Magnitude_h=5;0,91164;0,161329; ***;1,223512;;Magnitude (5. Oberton) / Grundfrequenzmagnitude
1; Shape-based Spectral Contrast_5;0,065674;0,141439; ***;-0,779484;;geringerer Kontrast zwischen 1600-3200 Hz
2; Shape-based Spectral Contrast_5_mean;0,047717;0,10194; ***;-0,81998;;
3; Tristimulus_3;0,336649;0,166958; ***;1,230041;;Energieverh?ltnis zwischen Oberton 4 ? N und Gesamtenergie ?ber alle Obert?ne
4; Relative_Harmonic_Magnitude_h=4;0,983491;0,248143; ***;1,141504;;
5; Tristimulus_1;0,239822;0,408743; ***;-0,933526;;Energie f0 / Gesamtenergie
Steve Coleman vs. all; (N = 700 vs. 7266);;;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;;
