Chet Baker vs. all; (N = 800 vs. 8669);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;test
Clifford Brown vs. all; (N = 874 vs. 8595);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Dizzy Gillespie vs. all; (N = 594 vs. 8875);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Don Ellis vs. all; (N = 578 vs. 8891);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
0; Spectral Spread_mean;1571797,480207;2664008,850527; ***;-0,648457;
1; Spectral Skewness_S;42,086957;25,627917; ***;1,248406;
2; Spectral Kurtosis_S;0,000179;0,000027; ***;1,780024;
3; Spectral Spread_min;1245495,321869;2111980,36512; ***;-0,649767;
4; Spectral Spread_S;3392,556374;5941,057011; ***;-0,688781;
5; Shape-based Spectral Contrast_6_mean;0,18772;0,140345; ***;0,692773;
6; Shape-based Spectral Contrast_6_max;0,223225;0,172814; ***;0,640496;
Fats Navarro vs. all; (N = 580 vs. 8889);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
0; Shape-based Spectral Contrast_7_min;0,389147;0,294761; ***;0,541541;
1; Spectral Spread_max;1677998,994565;3318696,751313; ***;-0,7384;
3; Shape-based Spectral Contrast_7_mean;0,421575;0,322877; ***;0,541544;
5; Spectral Spread_S;3182,917044;5955,309212; ***;-0,751207;
Freddie Hubbard vs. all; (N = 574 vs. 8895);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Kenny Dorham vs. all; (N = 691 vs. 8778);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Lee Morgan vs. all; (N = 400 vs. 9069);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
0; Spectral Entropy_min;5,417626;4,832138; ***;1,120732;
Louis Armstrong vs. all; (N = 691 vs. 8778);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
0; Shape-based Spectral Contrast_5_mean;0,046507;0,068456; ***;-0,520712;
1; Tristimulus_2;0,318576;0,421514; ***;-0,687604;
4; Mel-frequency Cepstral Coefficients_3_mean;-1,425493;-1,912814; ***;0,537591;
5; Mel-frequency Cepstral Coefficients_3_max;-1,01047;-1,508451; ***;0,53482;
Miles Davis vs. all; (N = 1699 vs. 7770);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Roy Eldridge vs. all; (N = 560 vs. 8909);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
0; Shape-based Spectral Contrast_5_min;0,086264;0,041572; ***;1,405924;
2; Tristimulus_2;0,317808;0,420049; ***;-0,680902;
3; Spectral Sparseness_max;0,922127;0,896648; ***;1,028026;
4; Spectral Skewness_S;16,024159;27,299421; ***;-0,835151;
12; Spectral Sparseness_mean;0,907388;0,884822; ***;0,828935;
14; Shape-based Spectral Contrast_4_min;0,058944;0,022481; ***;1,385752;
16; Spectral Spread_mean;3476280,459202;2542090,535015; ***;0,552711;
17; Shape-based Spectral Contrast_4_mean;0,085704;0,0381; ***;1,360432;
Woody Shaw vs. all; (N = 738 vs. 8731);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
Wynton Marsalis vs. all; (N = 690 vs. 8779);;;;;
Rank; Feature; Mean (class); Mean (others); Significance (t-test); Cohen's D;
